"('date', '')","('close', 'ezj.l')","('high', 'ezj.l')","('low', 'ezj.l')","('open', 'ezj.l')","('volume', 'ezj.l')"
2024-08-01,431.4949951171875,448.69079194330305,430.8951349989171,444.29186859290854,4521421
2024-08-02,428.8956298828125,435.7939451005753,422.3762202625508,429.39550823931927,8382363
2024-08-05,421.3974609375,458.668390544496,404.6015601077538,415.0990057538837,4729139
2024-08-06,423.996826171875,427.2960111058247,416.198705539575,423.79686262611597,2425405
2024-08-07,418.7980651855469,428.2957536009968,418.7980651855469,426.79611858803105,3813063
2024-08-08,423.1969909667969,431.79490452753134,412.49961278357074,417.398414419639,1627821
2024-08-09,436.59375,439.29307470295157,422.99705318575343,426.89609809678495,4525770
2024-08-12,431.994873046875,443.69200804616315,430.39525623641634,437.69346788955806,2146263
2024-08-13,432.4947509765625,446.59132643303343,427.39598574633004,433.89440424305786,1809246
2024-08-14,432.6946716308594,449.09070531553533,432.5947203726606,439.89293180999283,2205480
2024-08-15,436.8936767578125,440.7927217755884,429.39550152741526,434.9941451348091,2268711
2024-08-16,436.0938720703125,438.7852031158672,433.1605650067748,437.2935617693552,1844972
2024-08-19,433.0946044921875,458.66836685426307,433.0946044921875,435.8939109825096,2061737
2024-08-20,438.59326171875,442.89119634484456,429.89536651770305,431.0950867213482,1929687
2024-08-21,438.8931884765625,449.0907189550222,434.99414347367605,438.99317024794993,1568836
2024-08-22,446.391357421875,452.18993395924036,430.59521408894693,438.893182325203,3695961
2024-08-23,447.791015625,452.18993896168104,444.9917090953356,446.2913805890756,2759273
2024-08-27,478.6835021972656,479.2833623273682,444.491840903263,447.39112927024615,15357718
2024-08-28,468.9858703613281,484.1821537750004,468.2860284728041,477.8836988188962,3353552
2024-08-29,479.08343505859375,484.7820300877911,470.0856245291889,470.0856245291889,2270876
2024-08-30,474.9844055175781,479.78322538506967,471.48525713207107,478.8834504736841,2860546
2024-09-02,474.8844299316406,477.9836817869093,468.3860114167866,475.2843265074472,2011422
2024-09-03,487.8812561035156,488.38113443968723,464.08705950580674,474.08462622923946,4365479
2024-09-04,480.3830871582031,486.58159080946683,478.2986030127527,479.3833304731704,3934180
2024-09-05,483.3823547363281,489.17894811582516,475.7841978669841,478.7834679067131,2237811
2024-09-06,478.2835998535156,482.8824867820419,470.68544282075305,481.5828152742675,4140076
2024-09-09,481.7827453613281,485.78177214251394,476.0841505042302,483.18239863271253,1486751
2024-09-10,485.7817687988281,488.9810024058173,478.71650219442887,479.3833320950026,1943234
2024-09-11,487.6813049316406,492.3801736148692,482.0826918326702,486.9814935493459,1812778
2024-09-12,490.98052978515625,499.7783766900573,472.3850487482729,490.380669652969,7263002
2024-09-13,490.8805236816406,493.2799335813127,488.4791001119232,492.6800734788566,2294097
2024-09-16,487.1814270019531,492.78007061589364,484.8819987993371,491.38041733994675,1305258
2024-09-17,517.2741088867188,519.5055603328507,487.881239322682,489.5808378112683,9216193
2024-09-18,511.67547607421875,518.2739070252791,508.0763762975004,515.6745029462647,4307438
2024-09-19,527.4716186523438,527.8715457466384,515.0746719932056,516.6742583297695,4974413
2024-09-20,519.0736694335938,526.5068577506814,518.4737788261539,518.6737423619671,3754654
