"('date', '')","('close', 'bp.l')","('high', 'bp.l')","('low', 'bp.l')","('open', 'bp.l')","('volume', 'bp.l')"
2024-07-22,457.6010437011719,459.35028321150406,424.4454753220356,457.8009689897935,32925599
2024-07-23,450.45416259765625,457.5510833723451,450.0043764490882,455.9517725562535,64027598
2024-07-24,452.8531494140625,521.1135182393995,417.81838992473297,449.8544528356553,24766718
2024-07-25,453.3029479980469,453.7527646685703,444.6567126431594,448.5550119385304,18153449
2024-07-26,454.3025207519531,459.800131014078,404.5641316008745,457.15128853409965,19286977
2024-07-29,452.80316162109375,464.6979847107181,452.80316162109375,461.8492169970067,30170740
2024-07-30,451.4537353515625,467.74667070424584,450.40420381693366,467.74667070424584,28709940
2024-07-31,458.650634765625,463.2086509952399,455.50200954842387,458.7505974162684,55453062
2024-08-01,453.7027587890625,464.19819617911367,432.74186975275904,458.80054876509365,20946819
2024-08-02,444.6067199707031,457.0013565120581,444.1569338005476,450.20429284352184,38462239
2024-08-05,430.8127136230469,521.1134841993425,424.4454865181719,433.2616612038374,80556024
2024-08-06,430.51287841796875,435.5107059802655,425.91487095979204,434.2112525114772,64260354
2024-08-07,437.05999755859375,438.7092744673854,417.81836244595127,430.16300198271773,53311556
2024-08-08,431.12225341796875,445.54797158420087,427.7232666811347,430.07257665654026,20697887
2024-08-09,433.62152099609375,434.7711742584102,430.572436625358,432.32191826626445,34523577
2024-08-12,439.46978759765625,441.2192692118917,434.87114410995827,435.8708478895214,16891334
2024-08-13,436.87054443359375,441.11928542636895,435.42096177382007,440.8193865008823,36515280
2024-08-14,436.87054443359375,441.3192383823852,389.65452472374983,440.16955464809826,17216347
2024-08-15,443.31866455078125,445.06814620961063,432.80176099623907,438.7699939327015,24187011
2024-08-16,441.1192932128906,446.46771454108887,437.47038051521685,441.86907104837996,22988743
2024-08-19,441.9190368652344,443.67553541667485,424.5042143735516,439.2198550063816,20318176
2024-08-20,429.7226867675781,439.71972481959324,429.2728078518218,435.8708590678596,32364821
2024-08-21,430.27252197265625,436.9905329250139,417.87620059266783,428.82296972548494,24742499
2024-08-22,426.0737609863281,445.54797099228364,424.3742523658999,426.7735353235048,41043486
2024-08-23,429.1728210449219,430.7223802108296,427.7542655422302,428.6229961687038,33227687
2024-08-27,432.02197265625,437.4703703374641,431.9719996717953,433.171625875546,30872762
2024-08-28,431.4221496582031,433.3715842127483,427.82324049371647,431.7220790942689,16085937
2024-08-29,434.6212158203125,436.22074796069177,428.2231177673335,429.67266993475687,26449293
2024-08-30,429.2727966308594,438.07020819179644,427.5233150174873,435.770871194813,53814676
2024-09-02,430.1225280761719,431.22220827638887,427.67324174425846,428.9228714016558,12103622
2024-09-03,416.2266845703125,429.92260836923595,415.62685618667564,429.0228810480501,43111786
2024-09-04,413.7274169921875,418.97586185669155,410.9282280926623,413.37751456617957,36693626
2024-09-05,411.57806396484375,415.1769732144159,410.47338029001276,411.42808398899604,46140205
2024-09-06,405.579833984375,412.02790503219074,404.8230391888806,409.12877018451513,31827157
2024-09-09,406.529541015625,408.9288240153106,404.7300863929954,406.92941643081616,33085523
2024-09-10,397.332275390625,407.57923902798547,395.63276677906225,404.7300771832069,37034637
2024-09-11,398.13201904296875,404.48014396683027,397.38224122932854,399.2316992713486,36821119
2024-09-12,402.8806457519531,406.82948810603955,398.7818539242327,404.23025203173836,31903145
2024-09-13,404.08026123046875,406.32959463054516,402.2807762052856,402.8806045470133,24362540
2024-09-16,406.0296936035156,409.8785593478803,401.98090540361676,402.4807573052605,25543399
2024-09-17,410.32843017578125,411.6280328910261,406.9294129047624,408.5789485545079,29084397
2024-09-18,410.22845458984375,412.3278386416552,409.2787237899529,410.8782559488825,46564123
2024-09-19,417.32635498046875,420.075540374257,414.51517623706917,414.82709553157036,37958785
2024-09-20,409.4286804199219,415.15699419565055,406.62952197422175,411.4280880264331,92290197
2024-09-23,411.6280212402344,413.77737821239816,408.71887965131896,411.82797419470717,20031081
2024-09-24,410.02850341796875,416.6135578970917,410.02850341796875,412.6777123600917,75926000
2024-09-25,400.1314697265625,409.6786293804571,398.56293412708885,407.47929919489206,71570657
2024-09-26,383.7362976074219,386.935331361224,379.58753307021135,382.8865433025624,116231175
2024-09-27,388.0350036621094,390.484290047983,384.3361180998451,385.08589591080187,94870761
2024-09-30,391.583984375,395.3328735647969,388.7348224890467,392.8835870907143,35750230
2024-10-01,400.8812255859375,402.6307072437315,387.2852477436592,390.88418754140037,47005085
2024-10-02,406.4795837402344,413.4775105564412,405.7298058670694,406.3796072554378,49730594
2024-10-03,408.87884521484375,411.0282022359036,405.12995604722596,409.87854899287515,63566854
2024-10-04,416.7265319824219,418.026134709185,411.42808357734003,412.277837902626,32703997
2024-10-07,421.9749755859375,425.87381426269104,416.9764566391923,419.5756925932075,30854016
2024-10-08,406.32958984375,418.9758358201587,405.7797344917535,418.7259098897611,41006876
2024-10-09,406.2796325683594,408.0291142801522,402.18084074187954,402.18084074187954,25396232
2024-10-10,410.7283020019531,413.4274838889458,406.1736518477702,406.87943636704375,25972269
2024-10-11,409.3287048339844,411.92791012758113,403.9802837717848,407.8791222207166,29864221
2024-10-14,408.2790222167969,409.9285273705386,405.0299848954572,405.7297897526996,29113517
2024-10-15,392.38372802734375,396.48251956831785,387.88506108180735,392.1837750707937,58233839
2024-10-16,395.3328857421875,399.2137244797958,393.3834511000296,393.3834511000296,84889024
2024-10-17,399.88153076171875,401.59302932695016,395.2329140683217,395.5328130129771,33733273
2024-10-18,399.48162841796875,406.1796253018326,397.4822208988683,401.4310324439691,30968082
2024-10-21,404.7300720214844,408.2290351701054,401.2311088728634,401.2311088728634,27816924
2024-10-22,406.32958984375,407.729168952269,402.2307984835229,404.08025647017206,27637025
2024-10-23,402.5807189941406,407.3792848701779,402.18081308068935,404.83005246888393,24362222
2024-10-24,401.68096923828125,410.67830331736354,401.68096923828125,404.3302086795084,58531657
2024-10-25,404.7800598144531,406.82947089588686,401.0311705894949,401.8309519292758,24028000
2024-10-28,398.9818115234375,399.9815153706481,392.6336859919425,398.58193608626135,35303917
2024-10-29,379.1376647949219,397.58221204241465,377.538132618931,394.8829995886464,62007775
2024-10-30,373.9391784667969,380.3872799091448,370.9900706858958,375.83864001377765,106193039
2024-10-31,376.5384216308594,378.2379302557411,371.8898051679674,373.039458410193,44848773
2024-11-01,378.0879821777344,385.93563245175625,378.0879821777344,378.33790812298446,74742153
2024-11-04,381.8868408203125,385.98563238632187,379.9374062619245,380.1373592196959,27542215
2024-11-05,384.9859313964844,386.1355846406324,380.68718684164054,380.68718684164054,25926595
2024-11-06,386.3855285644531,393.33348235525045,382.5106694587467,385.0859257946897,47116382
2024-11-07,381.4491271972656,387.9482604260526,381.2201538285531,385.19862713695045,76438610
2024-11-08,373.2502136230469,382.5989730380873,372.3003585999521,381.7490802706275,36605259
2024-11-11,372.95025634765625,377.3996750966174,372.35033026155355,374.70002296590934,22710044
2024-11-12,367.2510070800781,374.80001856979334,366.25114043350726,373.2502069595034,40772606
2024-11-13,370.0006408691406,370.40061193912817,365.1513120373815,367.700959784255,43776178
2024-11-14,379.1994323730469,381.49911349515287,372.35033962102307,373.40021792646985,34226590
2024-11-15,382.64898681640625,385.94853462201985,377.24968238757066,377.2996940291764,31313356
2024-11-18,387.04840087890625,389.19810815457896,381.04920075320945,382.1990413412661,38396152
2024-11-19,382.7489318847656,389.44805047837184,380.74919863455574,387.1983505718857,29990253
2024-11-20,381.4991149902344,384.0487933018751,380.74921498919457,381.5491266317425,28987219
2024-11-21,388.5481872558594,390.0129882401194,382.94892789927786,383.7988206565863,31243080
2024-11-22,392.64764404296875,394.84733235580245,388.6481774594438,393.09756572551026,36507407
2024-11-25,387.79827880859375,397.4469856918709,387.79827880859375,392.3976714123837,55878231
2024-11-26,383.3988952636719,388.65719688223777,383.3488836209645,386.79843591386623,36191208
2024-11-27,384.0987854003906,385.29863764172774,381.4491447570736,383.54887092265864,45565981
2024-11-28,385.39862060546875,385.39862060546875,381.49911617712274,381.7490828449137,15369425
2024-11-29,384.59869384765625,385.7485343716098,382.59896058390814,383.6988199816712,20089503
2024-12-02,380.54925537109375,394.047455226909,376.74974377024046,383.7988220030493,21721770
2024-12-03,387.54833984375,390.5479399501049,382.1310627839974,382.9989280410057,38341720
2024-12-04,384.29876708984375,391.1478599956208,384.14879318955866,388.29823383616497,26302667
2024-12-05,379.1494445800781,384.10377038782775,378.1995590604449,382.64897784303,23462098
2024-12-06,377.69964599609375,384.1987795473171,375.0999864729024,380.7492272262637,49269965
2024-12-09,393.7974853515625,397.4469925134497,378.59150555986645,378.84946676106205,41255190
2024-12-10,395.447265625,396.64711782724305,391.666763909698,392.24768009469125,27056028
2024-12-11,393.9974365234375,396.4971031185957,391.947722120811,393.1475742918903,32162289
2024-12-12,396.9970397949219,399.7466730728488,395.6472442329282,397.5469847586124,23371766
2024-12-13,395.897216796875,398.8468051399752,392.5476573783974,398.54685734695107,54185785
2024-12-16,385.04864501953125,396.0471779410714,383.89880449861727,394.29741133991735,55594578
2024-12-17,380.04931640625,383.09889745637366,377.94959035711986,379.2994164253827,44072222
2024-12-18,383.348876953125,387.4983175501667,380.74921749636695,380.74921749636695,53111191
2024-12-19,378.99945068359375,385.32261265806284,378.39955508982825,380.649255106977,53166712
2024-12-20,378.99945068359375,379.94933622957143,373.70016951526924,376.9497362067064,89845670
2024-12-23,380.6492614746094,380.94920927650975,377.54966862976255,378.99945702362766,15893791
2024-12-24,381.19915771484375,383.648843196054,381.19915771484375,382.6489765528675,13684120
2024-12-27,385.39862060546875,387.0483945101871,381.7990944865774,382.84894228589565,15838283
2024-12-30,386.69842529296875,387.49830640426705,383.24887315928936,383.8487992495173,16079192
2024-12-31,392.9476013183594,392.9476013183594,386.74841575882385,386.74841575882385,8893052
2025-01-02,403.09625244140625,403.9961263652197,393.497526055873,394.9473449706629,26179116
2025-01-03,407.8956298828125,411.2951705385446,403.04627031587364,403.89616310818417,28423669
2025-01-06,413.9947814941406,415.6445859064073,406.68176132572506,409.44540036218666,30143079
2025-01-07,421.9437255859375,421.9437255859375,411.8450663353259,414.4947068506401,42143206
2025-01-08,420.34393310546875,426.0931663367889,416.7944187071876,424.7933518985895,37979014
2025-01-09,422.6436462402344,426.1431795241755,417.9942418950485,418.9441274203789,23103305
2025-01-10,425.0433349609375,434.6420612636843,421.74375658406626,422.793634914052,40095354
2025-01-13,431.14251708984375,433.8421387705788,425.94319823926605,431.99237934219,46834170
2025-01-14,420.1939697265625,424.4933842191343,416.64445523945153,419.14412192432104,104427143
2025-01-15,422.943603515625,426.39315574970226,420.6439223685797,425.39328907472446,48695344
2025-01-16,428.7428283691406,432.79230680860604,426.8430877435506,428.09292111742695,35060269
2025-01-17,434.2420654296875,439.0414435642911,433.66716042524297,434.4420509611948,40947844
2025-01-20,429.6427307128906,435.19197866042254,428.89283069222364,432.5923191527416,41151712
2025-01-21,426.7930908203125,431.4924458240796,425.0433241616366,429.6427169100008,36304387
2025-01-22,426.19317626953125,429.44274300941623,423.3935617451881,424.3934284343835,27891024
2025-01-23,423.6935119628906,427.24302652437336,422.29370469273584,422.4936597236094,25528694
2025-01-24,419.7940368652344,425.6932442471077,418.6441962717903,423.99345866479223,46315438
2025-01-27,416.8944091796875,422.39367571850164,416.1944903238896,419.3940757882394,39404680
2025-01-28,418.2942199707031,423.29355323074856,416.1944938987823,420.89387936862846,36882689
